
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag,S22_Real,S22_Imag,S23_Real,S23_Imag,S24_Real,S24_Imag,S31_Real,S31_Imag,S32_Real,S32_Imag,S33_Real,S33_Imag,S34_Real,S34_Imag,S41_Real,S41_Imag,S42_Real,S42_Imag,S43_Real,S43_Imag,S44_Real,S44_Imag
2914000000.0,-0.7387816,-0.4406145,-0.2443878,-0.606579,0.2227164,0.6090591,-0.3853897,0.4931519,-7.714332e-06,-1.606835e-05,0.1067763,-0.5365437,0.6452019,-0.02797385,0.3527828,0.513183,0.357219,-0.4418251,0.5976883,0.02935056,0.1625162,-0.5350387,-0.1711903,-0.5488998,-0.1255106,-0.5651268,0.4027148,-0.4574965,-0.4863415,0.3644441,0.1848804,-0.4304624
2972000000.0,0.7847162,0.3244323,0.6854944,-0.02111442,-0.6613714,-0.1445296,-0.2082597,-0.6199343,3.962203e-06,-8.619975e-07,0.432085,0.5156549,-0.3201119,0.5939246,-0.6510882,0.03055274,0.4183419,0.4181164,-0.1061672,0.6179848,0.4420358,0.4858727,0.5999436,0.03196551,0.597357,-0.07751417,0.4325448,0.4698011,-0.2004386,-0.6010091,0.285536,0.5255502
3030000000.0,-0.792594,-0.309185,-0.2040893,0.683179,0.5092264,-0.4870005,0.650463,0.1924223,6.288664e-06,2.101536e-05,-0.6748931,0.356032,-0.3424999,-0.610014,0.3448502,-0.579062,-0.4441738,0.4295588,-0.6405319,-0.1295631,-0.5878234,0.3869973,-0.2272857,0.5801581,0.0833108,0.6217795,-0.4919989,0.4447046,0.6576981,-0.02591532,-0.6390199,0.2143809
3088000000.0,0.8251612,0.1818553,-0.604082,-0.4163402,0.1204187,0.7160423,-0.5470373,0.4311996,-1.09702e-05,6.216928e-06,-0.2444597,-0.7339603,0.7152364,0.04619625,0.2920327,0.6232045,-0.4416317,-0.4531407,0.1382426,-0.6513956,-0.2591234,-0.6170576,-0.4871463,-0.4065316,-0.6320481,0.09468971,-0.4523345,-0.497164,-0.162477,0.6464113,-0.09683838,-0.6541693
3146000000.0,-0.8259262,-0.1209299,0.5976273,-0.455506,-0.687803,-0.2816588,-0.06891763,-0.7078004,-1.270829e-05,-1.450739e-05,0.7528267,-0.09162437,-0.4140144,0.6011941,-0.6939293,-0.0795865,0.4898428,-0.4245501,0.6510619,0.1888061,0.6196903,-0.05067914,0.5503051,-0.3364023,-0.06626608,-0.6515572,0.5344152,-0.4279647,-0.5791985,-0.3578979,0.6249999,0.07015033
3204000000.0,0.8436808,0.04205376,0.2512906,0.7218139,0.5983281,-0.4722798,0.6572806,0.3041077,-3.723313e-06,-9.608815e-06,-0.03390431,0.7236282,-0.3415036,-0.6619647,0.4126169,-0.5745305,0.3841762,0.5422836,-0.2679615,0.6365967,-0.1574266,0.5636969,0.139703,0.6434687,0.6676465,-0.01370053,0.3782423,0.5818036,0.5235304,-0.4592621,-0.2162847,0.5395395
3262000000.0,-0.8517725,0.0344648,-0.7676941,-0.0004775503,0.09736808,0.7711713,-0.6146859,0.3959584,-2.63185e-06,9.789273e-07,-0.6051431,-0.2673021,0.7542331,0.03803025,0.2756391,0.655371,-0.5864069,0.3344527,-0.6094717,-0.3428214,-0.3632285,-0.42868,-0.6638777,-0.08818062,-0.04532959,0.6735133,-0.6224443,0.318354,0.2808693,0.6543539,-0.2949208,-0.425158
3320000000.0,0.8074622,-0.2012308,0.2757993,-0.7435233,-0.7408706,-0.3321978,-0.002972837,-0.7627176,1.523571e-05,-9.16498e-06,0.6214827,-0.2575639,-0.4350145,0.6531557,-0.7275242,-0.117083,-0.2669372,-0.6478982,0.4379443,-0.5763189,0.6841455,0.02434814,0.3272946,-0.6175818,-0.6880723,-0.1338558,-0.2397381,-0.683512,-0.7451294,0.05566996,0.6118051,0.132613
3378000000.0,-0.8186011,0.1681825,0.6512923,0.5394259,0.7320307,-0.4716886,0.6808005,0.4578016,-4.709692e-06,-3.115055e-06,-0.07423517,0.810441,-0.3388287,-0.7661829,0.535682,-0.5801934,0.7069927,-0.2494432,0.5816956,0.5062362,-0.2755504,0.800901,0.5161719,0.5482846,0.1768152,-0.7304625,0.742893,-0.2121796,0.1792923,-0.779671,-0.3955587,0.6978979
3436000000.0,0.7889175,-0.3186496,-0.7560574,0.482667,-0.02206525,0.9258143,-0.8143589,0.3114184,3.962744e-07,4.855758e-06,-0.8701784,-0.2232947,0.8772808,0.1476952,0.1865896,0.8168355,0.2830695,0.7469102,-0.5340793,0.617174,-0.8471547,-0.374665,-0.7139246,0.3458377,0.7856783,0.1579151,0.239743,0.7832546,0.7442608,0.4042993,-0.7390572,-0.4837761
