
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag
5988000000.0,0.01480685,0.8063608,-0.9489601,0.1156601,0.1218009,-1.169212,0.6930151,0.6601986,-7.983463e-06,-6.611504e-06
6046000000.0,-0.0800573,-0.7235363,0.1835668,-0.9266249,0.9853852,0.6103077,-0.8860266,0.3172635,-5.320597e-06,-4.655074e-06
6104000000.0,0.01445758,0.8153431,0.8000848,0.452111,-1.008588,0.4834383,0.2253123,-0.8777142,4.587933e-06,-6.125944e-06
6162000000.0,-0.2321133,-0.7811406,-0.6620736,0.5734888,0.2316254,-1.03035,0.4985443,0.6989538,-9.876995e-06,3.233498e-06
6220000000.0,0.206498,0.7403278,-0.2893169,-0.7940038,0.6952565,0.7444442,-0.8314605,-0.009828142,-5.547423e-06,-9.139506e-07
6278000000.0,-0.3072445,-0.6938814,0.8276795,0.005283786,-0.9623145,0.27326,0.4025611,-0.7086893,-9.296143e-06,-9.23274e-06
6336000000.0,0.3493548,0.6778291,-0.2487124,0.7782094,0.09719428,-0.9793334,0.490441,0.6374558,-1.096558e-05,1.725916e-05
6394000000.0,-0.4428282,-0.6501001,-0.6236845,-0.5120689,0.8016859,0.5314739,-0.7829753,0.131405,-8.146922e-06,-4.403802e-06
6452000000.0,0.4989711,0.6143626,0.7013294,-0.3920012,-0.8604455,0.4102314,0.3023339,-0.7316616,-1.776713e-05,3.841883e-06
6510000000.0,-0.5690823,-0.4121291,0.0582452,0.8083223,0.2922522,-0.9127895,0.2592632,0.7578061,1.133959e-05,1.538899e-05
6568000000.0,0.4841053,0.5539073,-0.7859008,-0.2125986,0.4724164,0.8282074,-0.7346293,-0.3436076,1.768273e-05,-4.084214e-06
6626000000.0,-0.7082803,-0.439819,0.4453747,-0.6853502,-0.9341472,-0.09720358,0.7153121,-0.3963714,4.173115e-06,1.195957e-05
6684000000.0,0.7138679,0.2749858,0.5104002,0.6196241,0.4841284,-0.769192,0.03273915,0.7992024,4.238906e-06,-3.480277e-06
6742000000.0,-0.6548645,-0.2498269,-0.7498732,0.2398966,0.5127683,0.722329,-0.7259772,-0.2903428,-9.370541e-06,5.801373e-08
6800000000.0,0.6849191,0.345888,0.284198,-0.7188887,-0.871294,0.03636768,0.6627009,-0.3926908,1.000496e-05,-3.401496e-06
6858000000.0,-0.8033645,-0.093543,0.6669856,0.3760765,0.3076501,-0.8141212,0.1197969,0.7534189,-1.032474e-05,-5.005373e-06
6916000000.0,0.7452092,0.08663914,-0.5080627,0.5564979,0.5532258,0.6586913,-0.6986806,-0.2633546,-1.005471e-05,-1.05573e-05
6974000000.0,-0.7267669,0.01264994,-0.3699274,-0.6339532,-0.8384326,0.03181608,0.6377605,-0.3556232,-7.967185e-06,1.262544e-05
7032000000.0,0.7007765,-0.0003714226,0.7016237,-0.1441528,0.4774776,-0.6670277,-0.127733,0.7074808,1.835908e-05,-1.345491e-06
7090000000.0,-0.8011525,0.102244,-0.09630235,0.7135037,0.3438355,0.7569172,-0.5385298,-0.483736,5.583456e-06,7.797053e-07
7148000000.0,0.7116162,-0.2858576,-0.6546869,-0.3267195,-0.845076,0.006235283,0.6828523,-0.2658203,1.52222e-05,-9.562394e-06
7206000000.0,-0.5777487,0.3219721,0.5301749,-0.5156039,0.3338682,-0.7668519,-0.07449645,0.7334945,6.091938e-06,-3.181527e-06
7264000000.0,0.6826317,-0.2118686,0.3128367,0.6971433,0.5279987,0.659692,-0.6156742,-0.4492418,8.687749e-06,-1.759633e-06
7322000000.0,-0.6736968,0.4894707,-0.7802005,0.07986407,-0.8426756,0.1020013,0.7350403,-0.2599042,9.228129e-06,-1.633892e-06
7380000000.0,0.455917,-0.5700403,0.1711345,-0.7721977,0.4217447,-0.7073778,-0.2844809,0.7384596,-2.140775e-05,-1.400151e-05
